train/RL_loss,time/fps,train/critic_loss,train/MSE_losses,train/MSE_loss,train/Main_losses,time/total_timesteps,train/Beta,train/ent_coef_loss,train/n_updates,time/time_elapsed,train/critic_los,train/loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef,rollout/ep_len_mean
16.442928314208984,87,0.42023658752441406,2.192659378051758,2.192659378051758,16.442928314208984,26400,0,-1.024135947227478,26299,300,0.42023658752441406,16.442928314208984,-134.62841515,132,0.001,16.442928314208984,0.017209576442837715,200.0
12.550762176513672,87,0.32941216230392456,2.1311731338500977,2.1311731338500977,12.550762176513672,27200,0,-0.5783936977386475,27099,309,0.32941216230392456,12.550762176513672,-135.6133602,136,0.001,12.550762176513672,0.01333838701248169,200.0
13.113407135009766,87,0.33555641770362854,2.4036941528320312,2.4036941528320312,13.113407135009766,28000,0,0.15852215886116028,27899,318,0.33555641770362854,13.113407135009766,-133.39423383000002,140,0.001,13.113407135009766,0.010517846792936325,200.0
16.74901008605957,87,1.1514689922332764,2.2913241386413574,2.2913241386413574,16.74901008605957,28800,0,-0.751884937286377,28699,327,1.1514689922332764,16.74901008605957,-133.56179971,144,0.001,16.74901008605957,0.011468829587101936,200.0
12.28204345703125,87,0.14767634868621826,2.383330821990967,2.383330821990967,12.28204345703125,29600,0,-0.5621138215065002,29499,336,0.14767634868621826,12.28204345703125,-134.05868724,148,0.001,12.28204345703125,0.010695400647819042,200.0
12.244251251220703,87,0.29443737864494324,2.4062514305114746,2.4062514305114746,12.244251251220703,30400,0,-0.8775918483734131,30299,346,0.29443737864494324,12.244251251220703,-133.91833464,152,0.001,12.244251251220703,0.008671498857438564,200.0
16.662757873535156,87,0.6761704683303833,2.3999199867248535,2.3999199867248535,16.662757873535156,31200,0,0.112907275557518,31099,355,0.6761704683303833,16.662757873535156,-138.63050999,156,0.001,16.662757873535156,0.00861543882638216,200.0
12.175594329833984,87,0.33532679080963135,2.3323006629943848,2.3323006629943848,12.175594329833984,32000,0,0.04102708399295807,31899,364,0.33532679080963135,12.175594329833984,-137.75771190999998,160,0.001,12.175594329833984,0.008792218752205372,200.0
13.120317459106445,87,0.31781327724456787,2.175503730773926,2.175503730773926,13.120317459106445,32800,0,1.1926746368408203,32699,373,0.31781327724456787,13.120317459106445,-137.63296999,164,0.001,13.120317459106445,0.011798002757132053,200.0
11.683975219726562,87,0.8464897871017456,2.510104179382324,2.510104179382324,11.683975219726562,33600,0,-0.7449492812156677,33499,382,0.8464897871017456,11.683975219726562,-139.87901930999996,168,0.001,11.683975219726562,0.017640370875597,200.0
