time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/RL_loss,train/Beta,train/critic_los,train/loss,train/n_updates,train/MSE_losses,train/learning_rate,train/Main_losses,train/MSE_loss
376,11.87,17,11.87,165,2854,-4.558701356252034,0.08853911948019424,-4.944396018981934,0.0,0.09437860548496246,-4.944396018981934,2738,0.8803490201632181,0.001,-4.558701356252034,0.8524969816207886
380,13.56,18,13.56,167,3047,-4.8666183527778175,0.10619813331694745,-5.050215244293213,0.0,0.09434568881988525,-5.050215244293213,2892,0.9287217311999377,0.001,-4.8666183527778175,0.7969194054603577
384,20.38,21,20.38,174,3752,-5.831265821176417,0.15821845333694534,-5.908716201782227,0.0,0.059629857540130615,-5.908716201782227,3418,0.7529281899333,0.001,-5.831265821176417,0.7783803939819336
388,25.56,25,25.56,168,4294,-7.421368524432182,0.16178800543957902,-8.234969139099121,0.0,0.1245291531085968,-8.234969139099121,4091,0.6550602121278644,0.001,-7.421368524432182,0.6585053205490112
392,30.12,28,30.12,168,4774,-8.360957017020574,0.23860421296954154,-8.144655227661133,0.0,0.1421499401330948,-8.144655227661133,4552,0.6583384388969058,0.001,-8.360957017020574,0.8283384442329407
396,34.27,31,34.27,166,5213,-9.314132281712123,0.2910069749094881,-9.705548286437988,0.0,1.8094656467437744,-9.705548286437988,5020,0.6174830027988979,0.001,-9.314132281712123,0.6677894592285156
400,37.81,33,37.81,166,5591,-10.028234659239303,0.28173221938911525,-10.196622848510742,0.0,0.0864221528172493,-10.196622848510742,5399,0.5923475006292033,0.001,-10.028234659239303,0.6710507273674011
404,41.71,36,41.71,165,6004,-10.998894725527082,0.41077661890107975,-10.913493156433105,0.0,0.6856215000152588,-10.913493156433105,5849,0.5562558807432652,0.001,-10.998894725527082,0.6199877262115479
408,45.15,38,45.15,166,6371,-11.560464877708286,0.48162171215403315,-11.52999496459961,0.0,0.2906283140182495,-11.52999496459961,6150,0.5533570436870351,0.001,-11.560464877708286,0.515876829624176
412,49.76,41,49.76,166,6856,-12.386208724975585,0.5799153454659521,-11.707468032836914,0.0,2.933786153793335,-11.707468032836914,6640,0.520788423373149,0.001,-12.386208724975585,0.5694526433944702
416,53.98,44,53.98,165,7302,-13.26680580262215,0.5563471674071094,-12.873701095581055,0.0,0.13997802138328552,-12.873701095581055,7096,0.5550414708352858,0.001,-13.26680580262215,0.5692217350006104
420,58.97,47,58.97,166,7825,-13.988018242518107,0.6692055204585821,-15.28172779083252,0.0,0.18971394002437592,-15.28172779083252,7602,0.5646191040674845,0.001,-13.988018242518107,0.5472505688667297
424,63.69,50,63.69,165,8320,-14.776471773783365,0.41487808732834075,-15.364534378051758,0.0,0.20328649878501892,-15.364534378051758,8097,0.5510268653884078,0.001,-14.776471773783365,0.5514435172080994
428,68.44,53,68.44,165,8818,-15.373197345410363,0.4755087747412213,-15.180548667907715,0.0,0.16391028463840485,-15.180548667907715,8597,0.5517198059518459,0.001,-15.373197345410363,0.6875788569450378
432,73.02,56,73.02,165,9300,-16.229624681305467,0.5616506796363181,-17.55685806274414,0.0,0.19605612754821777,-17.55685806274414,9070,0.551478644212087,0.001,-16.229624681305467,0.5772607922554016
436,77.46,59,77.46,165,9768,-16.76258306503296,0.7471397346506516,-16.786176681518555,0.0,0.11865390837192535,-16.786176681518555,9559,0.5424313356479009,0.001,-16.76258306503296,0.4904937744140625
440,82.18,62,82.18,165,10265,-17.70383447216403,0.46934617149829866,-18.390737533569336,0.0,0.25487834215164185,-18.390737533569336,10041,0.4996195935433911,0.001,-17.70383447216403,0.4351467490196228
444,87.17,65,87.17,165,10788,-18.169525381234976,0.58403116851583,-18.954355239868164,0.0,0.2090381383895874,-18.954355239868164,10556,0.4529282258107112,0.001,-18.169525381234976,0.4630053639411926
448,91.26,68,91.26,165,11327,-18.85624426061457,0.6902833683134029,-20.271549224853516,0.0,0.2769477367401123,-20.271549224853516,11082,0.4093490748694449,0.001,-18.85624426061457,0.39061465859413147
452,96.41,71,96.41,165,11888,-19.63277173653627,0.5061812896401652,-18.20656394958496,0.0,0.5629897117614746,-18.20656394958496,11658,0.4409832652562704,0.001,-19.63277173653627,0.561115562915802
456,101.4,75,101.4,165,12430,-20.29221449036529,0.624813607637433,-21.596479415893555,0.0,5.769021987915039,-21.596479415893555,12195,0.3957313873629639,0.001,-20.29221449036529,0.33209463953971863
460,106.58,78,106.58,165,13004,-20.777674674987793,0.6658919666354594,-19.10848045349121,0.0,0.5029098987579346,-19.10848045349121,12759,0.38389043862882416,0.001,-20.777674674987793,0.39423632621765137
464,111.68,82,111.68,165,13628,-21.891684161292183,0.8898321326587584,-20.840375900268555,0.0,0.2816188335418701,-20.840375900268555,13380,0.40063483806120026,0.001,-21.891684161292183,0.4817700982093811
468,116.0,85,116.0,164,14156,-22.49548642085149,0.621048932653347,-21.974105834960938,0.0,0.4176793694496155,-21.974105834960938,13935,0.35673145926915684,0.001,-22.49548642085149,0.25180014967918396
472,120.95,89,120.95,165,14754,-22.961993923434964,0.6232865065336227,-22.30953598022461,0.0,0.43946003913879395,-22.30953598022461,14513,0.3537959539658063,0.001,-22.961993923434964,0.37864387035369873
476,124.66,92,124.66,165,15320,-23.427857560377856,0.6787032612241232,-23.95697784423828,0.0,0.2459980547428131,-23.95697784423828,15070,0.3237767574878839,0.001,-23.427857560377856,0.30275076627731323
