time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
292,858,498.08,498.08,135187,157,0.26051896971464156,0.2822679877281189,-88.79029083251953,0.49090893495082855,0.42,-87.60476684570312,-89.35484286499023,-88.26066339111328,0.23399178683757782,134595,0.001
296,870,499.26,499.26,137187,157,0.2588895237445831,0.2942546308040619,-90.44611358642578,0.3070035444423556,0.412,-89.2337875366211,-89.31590606689453,-88.24928149414062,0.1763615906238556,136595,0.001
300,883,500.0,500.0,139187,157,0.2581052005290985,0.2222963273525238,-91.12653350830078,0.40770251102000477,0.404,-90.22845458984375,-89.54681924438476,-88.50407434082031,0.18032050132751465,138595,0.001
304,896,500.0,500.0,141187,157,0.26503201615810396,0.27436354756355286,-89.04600524902344,0.5100047491416335,0.396,-87.95952606201172,-89.70086190795898,-88.65133499145507,0.16686348617076874,140595,0.001
308,909,500.0,500.0,143187,157,0.2632334181666374,0.28367772698402405,-90.20613098144531,0.6843792937472463,0.388,-89.10546112060547,-89.83480361938477,-88.81345822143555,0.11447301506996155,142595,0.001
312,921,500.0,500.0,145187,157,0.2572544901967049,0.25904059410095215,-89.44235229492188,0.4081971661001444,0.38,-88.45800018310547,-89.94301675415039,-88.9654497680664,1.1736254692077637,144595,0.001
316,934,500.0,500.0,147187,157,0.2611889633536339,0.31305012106895447,-91.20306396484375,0.2637302600257099,0.372,-90.03852081298828,-90.11041558837891,-89.13879278564453,0.034595366567373276,146595,0.001
320,947,500.0,500.0,149187,157,0.26663621217012407,0.25803881883621216,-91.09255981445312,0.4232487806342542,0.364,-90.1532974243164,-90.32489517211914,-89.3543392944336,0.10167279839515686,148595,0.001
324,960,500.0,500.0,151187,157,0.27268856966495514,0.31800273060798645,-88.08045959472656,0.18963194546848536,0.356,-86.94837188720703,-90.66919714355468,-89.69842565917969,0.2246750295162201,150595,0.001
328,972,500.0,500.0,153187,157,0.26273187130689624,0.20734132826328278,-90.34586334228516,0.6902038026377558,0.348,-89.62431335449219,-90.94863400268555,-90.0343271484375,0.07987010478973389,152595,0.001
332,984,498.21,498.21,155008,157,0.2626165325597206,0.2643609642982483,-91.09361267089844,0.5124823506051135,0.34,-90.19478607177734,-90.93444753137435,-90.0415510094684,0.1280774623155594,154416,0.001
336,997,498.21,498.21,157008,157,0.2654283428788185,0.23578763008117676,-91.7107925415039,0.5457183907106519,0.332,-90.927978515625,-91.18238973999023,-90.30116778564454,0.4076075553894043,156416,0.001
340,1009,498.21,498.21,159008,157,0.26255556041002276,0.31433552503585815,-90.85739135742188,0.44508360291272403,0.324,-89.83894348144531,-91.32076010131836,-90.47008001708984,0.11266707628965378,158416,0.001
344,1022,498.21,498.21,161008,157,0.27593164300918577,0.23247815668582916,-91.7217788696289,0.45735882222652435,0.316,-90.98714447021484,-91.59819567871094,-90.72625173950195,0.058464910835027695,160416,0.001
