rollout/ep_rew_mean,time/time_elapsed,time/fps,train/std,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/MSE_loss,train/loss,train/Beta,train/actor_loss,train/RL_loss,train/ent_coef,train/MSE_losses,train/critic_loss,train/learning_rate,train/critic_los,train/n_updates,train/Main_losses
164.31744606999996,1263,94,0.048868630081415176,192,682.59,119261,0.14973434654530138,2.1350693702697754,-12.557659149169922,0,-11.59337104856968,-12.557659149169922,0.007805604247550946,2.788963558152318,0.32090446387883276,0.00073,0.1261371672153473,109248,-11.59337104856968
174.03005074,1296,94,0.04894217476248741,196,691.06,122127,0.09071321971714497,1.8772187232971191,-12.985937118530273,0,-11.703777492046356,-12.985937118530273,0.007456305706000421,2.5593298207968473,0.7475908886408433,0.00073,0.10786870867013931,112128,-11.703777492046356
186.93844183,1332,94,0.048749249428510666,200,704.77,125291,-0.7374047804623842,2.4409608840942383,-11.487898826599121,0,-11.922126531600952,-11.487898826599121,0.007410932412312832,2.439528612419963,0.4166671638377011,0.00073,0.19512487947940826,115264,-11.922126531600952
196.67801912,1362,93,0.04859636723995209,204,717.31,127930,0.09200296038761735,1.705666184425354,-11.52537727355957,0,-12.160407200455666,-11.52537727355957,0.007447809279256035,2.5015441942960024,0.3208113854052499,0.00073,0.2065226435661316,117888,-12.160407200455666
202.37922357999997,1395,93,0.04838748276233673,208,710.98,130690,0.7910359476227313,2.2249197959899902,-11.072635650634766,0,-12.315885111689568,-11.072635650634766,0.007645446225069463,2.318048371002078,0.38590768357971683,0.00073,1.6332744359970093,120704,-12.315885111689568
209.23838831999998,1429,93,0.048435669392347336,212,705.57,133745,1.012387037742883,1.5157787799835205,-14.15389633178711,0,-12.458581924438477,-14.15389633178711,0.007652537657122593,2.3382955454289913,0.34449187223799527,0.00073,0.23812778294086456,123712,-12.458581924438477
210.29762135,1464,93,0.04831397533416748,216,681.26,136711,-0.10699881822802126,2.6064815521240234,-13.293474197387695,0,-12.643589839339256,-13.293474197387695,0.007216888378025033,2.4631819911301136,0.264097907114774,0.00073,0.17519435286521912,126720,-12.643589839339256
218.04036082,1498,93,0.04812220484018326,220,683.14,139765,0.3215613467618823,1.852773904800415,-13.410146713256836,0,-12.830278769135475,-13.410146713256836,0.007694686435570475,2.5987648740410805,0.44122180668637156,0.00073,0.22473490238189697,129728,-12.830278769135475
224.447383,1533,93,0.04804343730211258,224,683.56,142735,0.055431833723559976,3.246756076812744,-12.67640495300293,0,-13.131680637598038,-12.67640495300293,0.007544021580542903,2.300950611010194,0.26109165471279994,0.00073,0.10716405510902405,132736,-13.131680637598038
234.89307322999994,1567,92,0.04789535701274872,228,692.9,145677,1.638509932672605,1.3134948015213013,-13.604364395141602,0,-13.06711658835411,-13.604364395141602,0.007410434671328403,2.321098553016782,0.9135530675994232,0.00073,0.2781386375427246,135680,-13.06711658835411
247.14511105000003,1597,92,0.04784875363111496,232,710.34,148293,0.8871876434423029,2.291914701461792,-12.553504943847656,0,-13.398834317922592,-12.553504943847656,0.007199989820946939,2.387155121192336,0.30766202439554036,0.00073,0.11761980503797531,138304,-13.398834317922592
255.03362517000002,1627,92,0.04761771485209465,236,719.22,150950,1.1182246848475188,2.1751182079315186,-13.779621124267578,0,-13.630246505141258,-13.779621124267578,0.007179520762292668,2.4112632907927036,0.4124615500913933,0.00073,0.07479006797075272,140928,-13.630246505141258
