rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/MSE_losses,train/RL_loss,train/Main_losses,train/MSE_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/critic_los,train/Beta,train/ent_coef_loss,train/loss,train/learning_rate
121.51,90,132,121.51,140,12654,0.39737412333488464,-36.8631477355957,-36.8631477355957,0.39737412333488464,0.013996010646224022,-36.8631477355957,0.37287867069244385,12553,0.37287867069244385,-0.0,0.1465643048286438,-36.8631477355957,0.001
124.73,90,136,124.73,145,13077,0.3498603403568268,-37.847225189208984,-37.847225189208984,0.3498603403568268,0.013453607447445393,-37.847225189208984,0.24894532561302185,12976,0.24894532561302185,-0.0,-0.5019484162330627,-37.847225189208984,0.001
127.96,90,140,127.96,149,13483,0.5256538391113281,-37.958709716796875,-37.958709716796875,0.5256538391113281,0.01573731005191803,-37.958709716796875,0.14512093365192413,13382,0.14512093365192413,-0.0,-0.3958171308040619,-37.958709716796875,0.001
132.3,90,144,132.3,155,14045,0.38080114126205444,-36.66263961791992,-36.66263961791992,0.38080114126205444,0.016631601378321648,-36.66263961791992,0.4681810736656189,13944,0.4681810736656189,-0.0,-0.23996618390083313,-36.66263961791992,0.001
136.83,90,148,136.83,162,14616,0.3400546908378601,-38.2010612487793,-38.2010612487793,0.3400546908378601,0.01812548190355301,-38.2010612487793,0.21723893284797668,14515,0.21723893284797668,-0.0,-0.5183291435241699,-38.2010612487793,0.001
140.41,89,152,140.41,169,15234,0.35282468795776367,-40.7919921875,-40.7919921875,0.35282468795776367,0.018957708030939102,-40.7919921875,0.11516253650188446,15133,0.11516253650188446,-0.0,-0.20152676105499268,-40.7919921875,0.001
141.25,89,156,141.25,176,15842,0.3604785203933716,-41.59136199951172,-41.59136199951172,0.3604785203933716,0.016202811151742935,-41.59136199951172,0.4591834545135498,15741,0.4591834545135498,-0.0,0.39150774478912354,-41.59136199951172,0.001
140.8,89,160,140.8,183,16529,0.4101928770542145,-44.055511474609375,-44.055511474609375,0.4101928770542145,0.01699918881058693,-44.055511474609375,0.13661521673202515,16428,0.13661521673202515,-0.0,-0.4240139126777649,-44.055511474609375,0.001
141.07,89,164,141.07,190,17168,0.517143726348877,-44.350868225097656,-44.350868225097656,0.517143726348877,0.015748780220746994,-44.350868225097656,0.22938793897628784,17067,0.22938793897628784,-0.0,-0.11993061006069183,-44.350868225097656,0.001
142.64,89,168,142.64,198,17833,0.5786095857620239,-42.90839767456055,-42.90839767456055,0.5786095857620239,0.02267354540526867,-42.90839767456055,0.36641111969947815,17732,0.36641111969947815,-0.0,-0.7279050350189209,-42.90839767456055,0.001
143.85,89,172,143.85,205,18476,0.5771764516830444,-43.212860107421875,-43.212860107421875,0.5771764516830444,0.017565900459885597,-43.212860107421875,0.6999167203903198,18375,0.6999167203903198,-0.0,1.1648657321929932,-43.212860107421875,0.001
143.96,89,176,143.96,212,19148,0.46617037057876587,-44.87022018432617,-44.87022018432617,0.46617037057876587,0.02240517921745777,-44.87022018432617,0.1414029598236084,19047,0.1414029598236084,-0.0,0.4012196660041809,-44.87022018432617,0.001
145.48,89,180,145.48,221,19865,0.48016560077667236,-45.424476623535156,-45.424476623535156,0.48016560077667236,0.022649360820651054,-45.424476623535156,0.1389593631029129,19764,0.1389593631029129,-0.0,-0.006040409207344055,-45.424476623535156,0.001
147.88,89,184,147.88,229,20646,0.39613664150238037,-46.65638732910156,-46.65638732910156,0.39613664150238037,0.024935102090239525,-46.65638732910156,0.3330243229866028,20545,0.3330243229866028,-0.0,0.6816464066505432,-46.65638732910156,0.001
149.77,89,188,149.77,239,21489,0.40637993812561035,-46.023006439208984,-46.023006439208984,0.40637993812561035,0.024310175329446793,-46.023006439208984,0.22950249910354614,21388,0.22950249910354614,-0.0,0.18601424992084503,-46.023006439208984,0.001
152.2,89,192,152.2,247,22262,0.38127613067626953,-48.1711540222168,-48.1711540222168,0.38127613067626953,0.024346427991986275,-48.1711540222168,0.42556971311569214,22161,0.42556971311569214,-0.0,0.4684138894081116,-48.1711540222168,0.001
155.72,89,196,155.72,257,23126,0.4016948342323303,-47.61885070800781,-47.61885070800781,0.4016948342323303,0.02261997200548649,-47.61885070800781,0.2232033759355545,23025,0.2232033759355545,-0.0,-0.03841143846511841,-47.61885070800781,0.001
157.86,89,200,157.86,266,23900,0.48898810148239136,-47.220436096191406,-47.220436096191406,0.48898810148239136,0.023063773289322853,-47.220436096191406,0.15220224857330322,23799,0.15220224857330322,-0.0,-0.0768095850944519,-47.220436096191406,0.001
160.14,89,204,160.14,275,24684,0.41150832176208496,-49.65949249267578,-49.65949249267578,0.41150832176208496,0.022687658667564392,-49.65949249267578,0.0888722687959671,24583,0.0888722687959671,-0.0,0.01733335852622986,-49.65949249267578,0.001
162.31,89,208,162.31,283,25463,0.34452077746391296,-50.28309631347656,-50.28309631347656,0.34452077746391296,0.021751519292593002,-50.28309631347656,0.30279871821403503,25362,0.30279871821403503,-0.0,0.41325756907463074,-50.28309631347656,0.001
164.7,89,212,164.7,292,26260,0.3579098582267761,-48.294734954833984,-48.294734954833984,0.3579098582267761,0.025340553373098373,-48.294734954833984,0.11648864299058914,26159,0.11648864299058914,-0.0,0.08253799378871918,-48.294734954833984,0.001
167.52,89,216,167.52,302,27089,0.34494686126708984,-52.25474548339844,-52.25474548339844,0.34494686126708984,0.02163807861506939,-52.25474548339844,0.42473459243774414,26988,0.42473459243774414,-0.0,0.3051459789276123,-52.25474548339844,0.001
171.75,89,220,171.75,313,28087,0.34598439931869507,-50.924320220947266,-50.924320220947266,0.34598439931869507,0.022382162511348724,-50.924320220947266,0.6142487525939941,27986,0.6142487525939941,-0.0,-0.284355491399765,-50.924320220947266,0.001
174.24,89,224,174.24,322,28928,0.30703696608543396,-50.62788009643555,-50.62788009643555,0.30703696608543396,0.02716943621635437,-50.62788009643555,0.11079466342926025,28827,0.11079466342926025,-0.0,-0.6818854212760925,-50.62788009643555,0.001
180.96,89,228,180.96,336,30159,0.3152045011520386,-52.050537109375,-52.050537109375,0.3152045011520386,0.023388026282191277,-52.050537109375,0.44042232632637024,30058,0.44042232632637024,-0.0,-0.17726479470729828,-52.050537109375,0.001
188.17,89,232,188.17,351,31471,0.2591964602470398,-53.384151458740234,-53.384151458740234,0.2591964602470398,0.026982255280017853,-53.384151458740234,0.5230238437652588,31370,0.5230238437652588,-0.0,-0.22686180472373962,-53.384151458740234,0.001
202.4,89,236,202.4,371,33317,0.29891878366470337,-52.03862762451172,-52.03862762451172,0.29891878366470337,0.03365134075284004,-52.03862762451172,0.15415680408477783,33216,0.15415680408477783,-0.0,0.18162699043750763,-52.03862762451172,0.001
217.48,89,240,217.48,393,35231,0.27187418937683105,-55.69624328613281,-55.69624328613281,0.27187418937683105,0.0382264107465744,-55.69624328613281,0.4115004539489746,35130,0.4115004539489746,-0.0,-0.712101399898529,-55.69624328613281,0.001
231.75,89,244,231.75,415,37220,0.3022043704986572,-59.89521026611328,-59.89521026611328,0.3022043704986572,0.03141745924949646,-59.89521026611328,0.2009824812412262,37119,0.2009824812412262,-0.0,-0.05278525501489639,-59.89521026611328,0.001
240.75,89,248,240.75,432,38691,0.2724895179271698,-60.29785919189453,-60.29785919189453,0.2724895179271698,0.030338319018483162,-60.29785919189453,0.18473856151103973,38590,0.18473856151103973,-0.0,-0.14958041906356812,-60.29785919189453,0.001
254.57,89,252,254.57,454,40691,0.3847272992134094,-64.3843994140625,-64.3843994140625,0.3847272992134094,0.038720376789569855,-64.3843994140625,0.3350091576576233,40590,0.3350091576576233,-0.0,0.6773251295089722,-64.3843994140625,0.001
268.49,89,256,268.49,476,42691,0.33829236030578613,-66.40704345703125,-66.40704345703125,0.33829236030578613,0.03803674131631851,-66.40704345703125,0.185424342751503,42590,0.185424342751503,-0.0,-0.23106473684310913,-66.40704345703125,0.001
278.99,89,260,278.99,496,44428,0.31927037239074707,-66.12062072753906,-66.12062072753906,0.31927037239074707,0.03758661821484566,-66.12062072753906,13.426319122314453,44327,13.426319122314453,-0.0,-0.2762717306613922,-66.12062072753906,0.001
289.02,89,264,289.02,514,46070,0.31143608689308167,-70.33963012695312,-70.33963012695312,0.31143608689308167,0.035738635808229446,-70.33963012695312,0.4609583020210266,45969,0.4609583020210266,-0.0,-0.16094975173473358,-70.33963012695312,0.001
292.44,89,268,292.44,526,47077,0.3090302348136902,-68.50717163085938,-68.50717163085938,0.3090302348136902,0.034132130444049835,-68.50717163085938,1.4324843883514404,46976,1.4324843883514404,-0.0,0.36535975337028503,-68.50717163085938,0.001
