rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/Main_losses,train/critic_los,train/Beta,train/actor_loss,train/RL_loss,train/loss,train/critic_loss,train/learning_rate,train/MSE_losses,train/n_updates,train/MSE_loss
-151.87453566,48000,240,200.0,204,234,41.51142423629761,5.893043518066406,0.0,41.51142423629761,41.21868896484375,41.21868896484375,3.063254343867302,0.001,3.199415521621704,37800,3.679487943649292
-152.01361244,48800,244,200.0,203,239,41.58800527572632,1.575141191482544,0.0,41.58800527572632,50.46294021606445,50.46294021606445,2.76046399474144,0.001,3.1174095940589903,38600,3.0433948040008545
-154.93662856999998,49600,248,200.0,202,244,40.649889888763425,3.329977512359619,0.0,40.649889888763425,50.15869903564453,50.15869903564453,2.5968463215231896,0.001,3.232016179561615,39400,3.011075258255005
-152.31942808,50400,252,200.0,201,249,40.19568702697754,2.8956894874572754,0.0,40.19568702697754,31.602426528930664,31.602426528930664,2.7052167946100236,0.001,3.161802656650543,40200,3.216020345687866
-152.88390248,51200,256,200.0,201,254,41.12913274765015,7.80881929397583,0.0,41.12913274765015,39.81401824951172,39.81401824951172,3.3498754966259003,0.001,2.853511688709259,41000,2.6607983112335205
-153.56212102,52000,260,200.0,200,259,39.443319149017334,4.854172229766846,0.0,39.443319149017334,36.55950164794922,36.55950164794922,2.787541933953762,0.001,2.918838663101196,41800,3.141097068786621
-149.27163155,52800,264,200.0,199,264,39.0430486869812,5.47658634185791,0.0,39.0430486869812,37.460304260253906,37.460304260253906,3.1959766429662704,0.001,2.4696540701389313,42600,2.5346574783325195
-148.3563299,53600,268,200.0,198,269,39.34630876541138,3.240429162979126,0.0,39.34630876541138,32.33445358276367,32.33445358276367,2.97740273848176,0.001,2.5917319011688233,43400,2.4673776626586914
-146.95623528,54400,272,200.0,198,274,37.17066947937012,0.3774647116661072,0.0,37.17066947937012,28.80922508239746,28.80922508239746,3.276641389429569,0.001,2.8844125175476076,44200,3.5578343868255615
-149.37203017,55200,276,200.0,197,279,37.708089962005616,1.2203768491744995,0.0,37.708089962005616,34.43466567993164,34.43466567993164,3.5625969839096068,0.001,2.9789665031433104,45000,2.7870874404907227
-149.23653865999998,56000,280,200.0,197,284,38.10795948028564,2.158872604370117,0.0,38.10795948028564,25.77256202697754,25.77256202697754,3.016098237633705,0.001,2.860444105863571,45800,1.7322978973388672
-151.85482706,56800,284,200.0,196,289,37.76129913330078,0.9373350143432617,0.0,37.76129913330078,44.929931640625,44.929931640625,2.7516136452555657,0.001,2.85201952457428,46600,2.732274055480957
-152.86045748000004,57600,288,200.0,195,294,37.122979412078855,4.0927042961120605,0.0,37.122979412078855,31.52328109741211,31.52328109741211,3.0144746279716492,0.001,2.550385921001434,47400,2.5443978309631348
-150.2844505,58400,292,200.0,195,298,36.225686378479004,0.5767892599105835,0.0,36.225686378479004,27.041828155517578,27.041828155517578,2.921431617438793,0.001,2.444629808664322,48200,2.562432289123535
-145.36124729000002,59200,296,200.0,194,303,36.19527921676636,1.2918568849563599,0.0,36.19527921676636,42.42179489135742,42.42179489135742,3.0820768254995348,0.001,2.4104986596107483,49000,2.4653875827789307
-144.52820095000004,60000,300,200.0,194,308,36.19795719146728,1.557826042175293,0.0,36.19795719146728,36.558109283447266,36.558109283447266,2.9088170692324637,0.001,2.164994512796402,49800,1.8536213636398315
