time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/MSE_losses,train/critic_los,train/loss,train/learning_rate,train/n_updates,train/MSE_loss,train/RL_loss,train/Beta,train/critic_loss,train/actor_loss,train/Main_losses
412,1293.98,439762,155,2821,-55.225359350000005,4.3478191977739336,0.04680687561631203,2.8547585010528564,0.001,429035,4.9334330558776855,2.8547585010528564,0.0,0.4376842626906,1.6897756028175355,1.6897756028175355
416,1333.56,446162,155,2862,-50.910461780000006,4.457719343602657,0.21358931064605713,1.2246986627578735,0.001,435435,4.188932418823242,1.2246986627578735,0.0,0.33433672091050537,1.5159451930969954,1.5159451930969954
420,1379.55,452562,155,2901,-46.92510072,4.172230018377304,0.027807088568806648,1.7737258672714233,0.001,441835,4.339926242828369,1.7737258672714233,0.0,0.40010862854192963,1.5035149182379246,1.5035149182379246
424,1393.42,458962,156,2940,-44.12235697,3.944517284631729,0.0373733714222908,1.2545164823532104,0.001,448235,4.313754081726074,1.2545164823532104,0.0,0.17344098506961017,1.4960826189815999,1.4960826189815999
428,1393.42,465362,156,2982,-43.393230270000004,3.954627167880535,0.13312962651252747,1.1382695436477661,0.001,454635,3.91678786277771,1.1382695436477661,0.0,0.4634312653186498,1.3723807796090841,1.3723807796090841
432,1379.16,470336,155,3015,-41.00277810000001,3.764156247973442,0.024709584191441536,1.8164281845092773,0.001,459609,3.8138058185577393,1.8164281845092773,0.0,0.38254323634842874,1.3368229343742133,1.3368229343742133
436,1435.69,476736,156,3054,-36.33538041,3.5844813832640647,0.39978668093681335,1.4739898443222046,0.001,466009,3.345674991607666,1.4739898443222046,0.0,0.36867096424335616,1.2510120397806168,1.2510120397806168
440,1451.4,481746,156,3087,-33.66068379,3.2415901789069177,0.047721073031425476,0.8663450479507446,0.001,471019,2.617628812789917,0.8663450479507446,0.0,0.3799760300526395,1.1806697077304125,1.1806697077304125
444,1451.4,488146,156,3128,-31.23029158,3.3971254444122314,0.252826988697052,0.990946888923645,0.001,477419,3.129063129425049,0.990946888923645,0.0,0.22623143539647572,1.1598818904161454,1.1598818904161454
448,1466.73,494546,155,3170,-28.270491579999998,3.2299685168266294,0.049672044813632965,0.616800844669342,0.001,483819,3.110887289047241,0.616800844669342,0.0,0.16484581290278583,1.0101851340383292,1.0101851340383292
452,1466.73,500946,155,3216,-26.25797123,3.234648929834366,0.03820005804300308,0.32584816217422485,0.001,490219,3.0199644565582275,0.32584816217422485,0.0,0.1829440956772305,0.8530431512463837,0.8530431512463837
456,1466.73,507346,155,3261,-24.561982179999994,3.6160190761089326,0.26059144735336304,0.41478431224823,0.001,496619,3.878342390060425,0.41478431224823,0.0,0.1967842538782861,0.6914928420213983,0.6914928420213983
460,1481.97,513746,155,3305,-19.955149389999995,3.626277512013912,0.04969793185591698,0.3013823330402374,0.001,503019,3.5922727584838867,0.3013823330402374,0.0,0.10659844806999899,0.5757839080755366,0.5757839080755366
464,1481.97,520146,155,3349,-16.711556209999998,3.4415274068713186,0.021719202399253845,1.4227182865142822,0.001,509419,3.973919630050659,1.4227182865142822,0.0,0.08717349902028218,0.28816907234799144,0.28816907234799144
468,1481.97,526546,155,3392,-12.26043224,3.4367418724298475,0.2758287787437439,-0.05484895035624504,0.001,515819,3.4054956436157227,-0.05484895035624504,0.0,0.09623729618673678,0.14869849291920217,0.14869849291920217
