time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/MSE_loss,train/critic_los,train/learning_rate,train/RL_loss,train/MSE_losses,train/Main_losses,train/Beta,train/critic_loss,train/actor_loss,train/n_updates,train/loss
48956,112,476.82,476.82,159,306,0.2864348590373993,0.5408056974411011,0.001,-68.25746154785156,0.26392662614583967,-69.5175310974121,0.78,0.5969437499642372,-71.5761589050293,48386,-66.02326965332031
50956,116,476.82,476.82,159,318,0.22847366333007812,2.2748703956604004,0.001,-74.27692413330078,0.2692238327264786,-70.9770818786621,0.772,0.7327566309571266,-73.05548968505859,50386,-72.51310729980469
52956,120,481.18,481.18,159,331,0.3052537441253662,0.673430860042572,0.001,-74.36045837402344,0.27874880212545394,-73.3586935119629,0.764,0.7936988849639892,-75.4883345336914,52386,-72.0283203125
54956,124,481.18,481.18,159,344,0.2566525936126709,0.33964550495147705,0.001,-78.15501403808594,0.27881672966480253,-74.87008071899415,0.756,0.6693054766058922,-76.97793502807617,54386,-76.2147216796875
56318,128,476.13,476.13,158,354,0.3160015940666199,0.5089128017425537,0.001,-79.57575225830078,0.277373596013171,-75.48509201494235,0.748,0.5590465084731,-77.55984630399537,56092,-77.2120590209961
56956,132,464.79,464.79,158,358,0.19772939383983612,0.3630620539188385,0.001,-78.52848052978516,0.2882521908048173,-76.15461591263892,0.74,0.963285849127971,-78.28768211687115,56713,-77.0652847290039
58146,136,458.49,458.49,159,364,0.32213979959487915,0.5227323174476624,0.001,-78.47445678710938,0.2696603865341376,-76.35062880188454,0.732,0.5487012859733625,-78.32454302838741,57576,-76.11639404296875
60146,140,458.49,458.49,159,377,0.2923852503299713,0.5855538845062256,0.001,-81.23076629638672,0.2749633036851883,-77.8862019958496,0.724,0.9143053745627403,-79.87693618774414,59576,-79.11389923095703
62146,144,458.49,458.49,159,389,0.2874496281147003,0.5352797508239746,0.001,-81.83988952636719,0.2655241619944572,-78.28447094726563,0.716,0.7374660377502441,-80.1856240234375,61576,-79.78175354003906
64146,148,460.47,460.47,159,402,0.17812824249267578,0.6682714819908142,0.001,-82.623291015625,0.26690098547935487,-78.97054486083984,0.708,0.9504149937033654,-80.86020376586914,63576,-81.36214447021484
66146,152,463.09,463.09,159,415,0.3358823359012604,0.5324478149414062,0.001,-81.77069854736328,0.27074211519956587,-78.78491500854493,0.7,0.698024399638176,-80.68010974121094,65576,-79.41952514648438
68146,156,463.09,463.09,159,427,0.3038250505924225,0.3570995032787323,0.001,-80.76161193847656,0.26762358289957044,-77.91496591186524,0.692,0.5885842946171761,-79.76692111206054,67576,-78.65914154052734
70146,160,466.05,466.05,159,440,0.3256412446498871,0.6111081838607788,0.001,-79.53111267089844,0.2670393572449684,-77.77412725830078,0.684,0.7913790389299392,-79.60067651367187,69576,-77.30372619628906
72146,164,466.05,466.05,159,453,0.21068663895130157,0.3765178322792053,0.001,-78.79924011230469,0.26344493466615676,-77.1240295715332,0.676,0.6365382565557957,-78.90491729736328,71576,-77.375
74146,168,466.05,466.05,159,465,0.3199653625488281,1.1071481704711914,0.001,-77.16337585449219,0.2636600138545036,-77.2223307800293,0.668,0.5352334207892417,-78.98357958984376,73576,-75.02600860595703
76146,172,466.05,466.05,159,478,0.28859034180641174,0.4861142635345459,0.001,-79.55562591552734,0.25962244802713397,-77.10227243041992,0.66,0.4443604719936848,-78.81578057861329,75576,-77.65093231201172
78146,176,466.05,466.05,159,490,0.2675583064556122,0.31275495886802673,0.001,-80.8714828491211,0.2637502423524857,-77.66155453491211,0.652,0.5366460718512535,-79.3812060546875,77576,-79.12699890136719
80146,180,466.05,466.05,159,503,0.2951079308986664,0.3566575050354004,0.001,-77.99442291259766,0.26488038909435274,-78.60438485717773,0.644,0.5714314439594745,-80.31021463012695,79576,-76.09392547607422
82146,184,466.05,466.05,159,516,0.28954336047172546,0.6895922422409058,0.001,-79.86607360839844,0.25900756496191024,-79.28933209228515,0.636,0.40702539736032484,-80.93662014770509,81576,-78.02457427978516
84146,188,466.05,466.05,159,528,0.25560542941093445,0.2298421412706375,0.001,-82.0958251953125,0.258344680249691,-79.98621734619141,0.628,0.35640454629063606,-81.60862170410157,83576,-80.4906234741211
86146,192,466.05,466.05,159,541,0.2496059387922287,0.11268265545368195,0.001,-82.74894714355469,0.2601269456744194,-80.18930981445313,0.62,0.32982995226979256,-81.80209674072266,85576,-81.2013931274414
88146,196,466.05,466.05,159,553,0.2548602521419525,0.308083713054657,0.001,-80.44711303710938,0.2573530002236366,-80.61845559692382,0.612,0.37666472840309145,-82.1934557800293,87576,-78.88736724853516
90146,200,471.47,471.47,159,566,0.2521807849407196,0.44752538204193115,0.001,-80.00562286376953,0.2538846271634102,-80.94474771118163,0.604,0.3140447073578835,-82.47821081542969,89576,-78.48245239257812
92146,204,471.77,471.77,159,579,0.3078717589378357,0.23339934647083282,0.001,-81.7505874633789,0.2541467403173447,-81.05985778808594,0.596,0.3272396306544542,-82.57457223510742,91576,-79.9156723022461
94146,208,471.9,471.9,159,591,0.1958889365196228,0.2659912109375,0.001,-81.4509506225586,0.25603789460659027,-81.2511050415039,0.588,0.3546796657890081,-82.75660800170898,93576,-80.29912567138672
96146,212,471.9,471.9,159,604,0.27980953454971313,0.1834903061389923,0.001,-80.15270233154297,0.2557387006878853,-81.77564141845703,0.58,0.26628510203957556,-83.25892587280273,95576,-78.5298080444336
98146,216,471.9,471.9,159,617,0.23707950115203857,5.9850640296936035,0.001,-83.67774963378906,0.26444524389505386,-82.3990935974121,0.572,0.2905622518211603,-83.9117204284668,97576,-82.3216552734375
100146,220,471.9,471.9,159,629,0.2603674530982971,0.6103450059890747,0.001,-83.5799560546875,0.25765016639232635,-83.22449319458008,0.564,0.2772397788465023,-84.67764038085937,99576,-82.11148071289062
102146,224,471.9,471.9,159,642,0.3178795278072357,0.28277212381362915,0.001,-86.48421478271484,0.25622025156021117,-83.53392935180663,0.556,0.31364872042834757,-84.95851373291016,101576,-84.71680450439453
104146,228,478.28,478.28,159,654,0.27747875452041626,0.32502517104148865,0.001,-82.41057586669922,0.2529336750507355,-83.88267568969727,0.548,0.4269967992007732,-85.26875244140625,103576,-80.8899917602539
106146,232,491.9,491.9,159,667,0.262079119682312,0.12274623662233353,0.001,-87.7565689086914,0.2573435467481613,-83.98834060668945,0.54,0.4438570940494537,-85.37799584960938,105576,-86.34133911132812
108146,236,500.0,500.0,158,680,0.23064284026622772,0.2578622102737427,0.001,-86.69817352294922,0.25594380074739453,-83.88777444458007,0.532,0.310456666380167,-85.24939547729493,107576,-85.47115325927734
110146,240,500.0,500.0,158,692,0.28442034125328064,0.22476647794246674,0.001,-86.20428466796875,0.262761400282383,-84.26879580688477,0.524,0.47586491264402864,-85.6456654663086,109576,-84.71392059326172
112146,244,500.0,500.0,158,705,0.2697313725948334,0.09390487521886826,0.001,-88.33280181884766,0.2543803395628929,-84.75941876220703,0.516,0.2758456275463104,-86.07202136230468,111576,-86.94098663330078
114146,248,500.0,500.0,158,718,0.2414894551038742,0.12056748569011688,0.001,-87.96607208251953,0.2534662448167801,-85.18092120361328,0.508,0.2738373261541128,-86.46852969360351,113576,-86.73930358886719
116146,252,500.0,500.0,158,731,0.2896115183830261,0.23711234331130981,0.001,-87.6053695678711,0.2535284217596054,-85.36931961059571,0.5,0.3100262944176793,-86.63696166992187,115576,-86.15731048583984
