time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/Beta,train/critic_los,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/loss
342588,444,2198,672.53,155,176.52960473999997,0.116,0.5114812850952148,-14.352976322174072,0.001,333313,1.109307134213547,4.877005577087402,4.227110902468364,-13.86263140042623,-16.06348991394043,-15.497756958007812
345724,448,2215,666.36,156,178.0264905,0.108,0.9985781908035278,-14.457789463971658,0.001,335728,1.3964912220737133,8.394096374511719,4.504498563746296,-13.971303624450846,-14.001358032226562,-13.094795227050781
348885,452,2236,659.85,156,178.12792285000003,0.1,2.9356298446655273,-14.457427019861287,0.001,338877,1.2887468774250999,3.791990280151367,4.501472401867959,-14.00727977204883,-13.246692657470703,-12.867493629455566
349275,456,2242,627.81,155,161.54936844999997,0.092,1.1209685802459717,-14.465050884321624,0.001,339985,1.4000000631546272,6.074448585510254,4.112511270186481,-14.086699934566722,-13.646523475646973,-13.087674140930176
351212,460,2251,610.35,156,153.12398162,0.084,2.648794174194336,-14.385789615767342,0.001,341179,1.6085080108152026,3.842912435531616,4.374840925846781,-14.018302951540266,-15.879159927368164,-15.556355476379395
351594,464,2258,572.67,155,142.51872916,0.076,1.1488289833068848,-14.26015598919927,0.001,342295,1.229719626105795,6.008333683013916,4.387349885337207,-13.92671740784937,-13.378496170043945,-12.921862602233887
352318,468,2260,546.19,155,127.50079942,0.068,0.3517512083053589,-14.405704964982702,0.001,342689,1.6420563698599213,4.258783340454102,4.041303069033521,-14.130896385679854,-13.012008666992188,-12.722411155700684
354587,472,2275,543.95,155,126.41447334,0.06,5.853174209594727,-14.232539176940918,0.001,344962,1.6655454164493584,7.264649391174316,4.955433601424808,-13.935213123049055,-15.391785621643066,-14.955906867980957
357012,476,2289,537.01,155,124.66582027000003,0.052,4.095040321350098,-14.126036624113718,0.001,347045,1.4310202590917735,5.882051944732666,5.1139202664295835,-13.860112776358923,-14.701482772827148,-14.39561653137207
360148,480,2310,534.07,155,124.59156017000001,0.044,0.8857654333114624,-14.160201661798018,0.001,350182,1.5127820659178595,10.564594268798828,4.621693354166006,-13.956847142569627,-15.432266235351562,-14.967424392700195
363500,484,2332,532.83,155,124.54454392,0.036,0.46028339862823486,-14.204030565917492,0.001,353419,1.425192000713044,8.0931396484375,4.891814092329393,-14.02792526036501,-13.812271118164062,-13.520917892456055
366783,488,2354,561.64,155,141.72218128999998,0.028,1.2166281938552856,-14.3506050172605,0.001,356815,1.4977002465574627,7.527261734008789,4.730815161607768,-14.218142185294838,-14.10103702545166,-13.890274047851562
369572,492,2374,586.41,155,154.10422804,0.02,6.310617446899414,-14.430669638601016,0.001,359874,1.4024536695375625,5.418284893035889,4.805453353789991,-14.334560593074103,-13.30819320678711,-13.199827194213867
372708,496,2393,615.31,155,171.18977294999996,0.012,0.1925106644630432,-14.345954124275071,0.001,362757,1.4820563968394875,4.731936931610107,4.7947888888056625,-14.288416652728225,-14.611433029174805,-14.554649353027344
375851,500,2413,627.46,155,179.82812095999995,0.004,0.5604805946350098,-14.476654419347868,0.001,365852,1.4223364293200886,1.5394119024276733,4.850637290345963,-14.457251884230418,-12.191825866699219,-12.185667991638184
378587,504,2431,635.83,155,194.13738732,0,0.47980284690856934,-14.486038470831444,0.001,368589,1.4782616253208927,6.134450435638428,4.660867186356091,-14.486038470831444,-13.365405082702637,-13.365405082702637
381882,508,2452,628.52,155,206.37925095999995,0,0.5885206460952759,-14.41500881091267,0.001,371902,1.4190563080360887,3.627209424972534,4.875025733393066,-14.41500881091267,-15.419618606567383,-15.419618606567383
384805,512,2470,625.18,155,204.08722939000003,0,8.201229095458984,-14.304435999338864,0.001,374812,1.9124145507433337,3.2034709453582764,4.763533190764847,-14.304435999338864,-13.486353874206543,-13.486353874206543
388023,516,2490,628.26,155,206.50594551999998,0,0.28186994791030884,-14.345344458954244,0.001,377999,1.5528605057470566,7.57554292678833,4.885953465594521,-14.345344458954244,-13.85319995880127,-13.85319995880127
390813,520,2511,624.0,155,203.02010253999998,0,0.4704511761665344,-14.339210075636705,0.001,381311,1.5777711055707186,4.7735395431518555,4.844793614931405,-14.339210075636705,-12.751579284667969,-12.751579284667969
393262,524,2524,620.32,155,201.58925018000002,0,1.355963110923767,-14.185513727288496,0.001,383279,1.6693341384200673,11.088339805603027,4.6813691760364335,-14.185513727288496,-12.626667022705078,-12.626667022705078
395360,528,2537,609.0,155,194.51865847000002,0,0.4510224461555481,-14.319028192096287,0.001,385367,1.5024273775211752,5.272462844848633,4.220665064122942,-14.319028192096287,-14.897960662841797,-14.897960662841797
398678,532,2558,621.84,155,201.63349934,0,0.47137558460235596,-14.088969068225573,0.001,388714,1.5033607566309468,8.46232795715332,4.672747749626781,-14.088969068225573,-14.120749473571777,-14.120749473571777
401765,536,2577,620.15,155,201.57393128,0,0.22590002417564392,-14.207531563613726,0.001,391805,1.4867045023103258,2.7290594577789307,4.533213944862718,-14.207531563613726,-15.825758934020996,-15.825758934020996
404894,540,2597,633.31,155,208.55083575999998,0,1.2021510601043701,-14.37593445117657,0.001,394851,1.6709767340582151,4.687168598175049,4.8185078270618735,-14.37593445117657,-16.071392059326172,-16.071392059326172
407964,544,2617,653.76,155,220.85529946999998,0,0.5479695796966553,-14.30402619250409,0.001,398033,1.9175692259994772,1.1480423212051392,5.020946429611801,-14.30402619250409,-14.485624313354492,-14.485624313354492
410370,548,2632,646.46,155,216.51677794,0,5.958433151245117,-14.345775599241883,0.001,400343,1.8417852981062424,3.8177478313446045,5.12789928944405,-14.345775599241883,-15.6165132522583,-15.6165132522583
413276,552,2650,643.91,155,214.24814193999998,0,0.9909009337425232,-14.244102478027344,0.001,403292,1.7382439463100303,2.855055809020996,4.734592376579164,-14.244102478027344,-12.558219909667969,-12.558219909667969
416470,556,2670,671.95,155,230.78542326000002,0,7.0384111404418945,-14.170045733768049,0.001,406465,1.9594391930344408,1.1540732383728027,4.703158312039919,-14.170045733768049,-16.102144241333008,-16.102144241333008
419679,560,2691,684.67,155,239.17617858999995,0,3.2772297859191895,-14.133106328954744,0.001,409716,1.5847972000892254,1.7958673238754272,4.752726987226685,-14.133106328954744,-14.850808143615723,-14.850808143615723
422802,564,2711,712.08,155,255.77639802,0,3.61262845993042,-14.243245570850618,0.001,412842,1.6856917965516236,5.534724235534668,4.782763661032191,-14.243245570850618,-9.506584167480469,-9.506584167480469
426004,568,2731,736.86,155,270.6689730599999,0,2.905384063720703,-14.385148688757734,0.001,416048,1.6938600286948724,6.766122817993164,4.640198163420177,-14.385148688757734,-14.09050464630127,-14.09050464630127
