time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/Beta,train/critic_loss,train/MSE_losses,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/RL_loss,train/loss
214,-151.19005734,200.0,208,44800,224,34600,0.001,0.0,2.8723806062340738,2.497164863348007,46.92275909423828,1.8230465650558472,46.92275909423828,3.0469963550567627,43.37358474731445,43.37358474731445
219,-150.00787907,200.0,207,45600,228,35400,0.001,0.0,3.08380386531353,2.63736745595932,47.135352058410646,2.3391036987304688,47.135352058410646,2.334913969039917,49.21910095214844,49.21910095214844
224,-150.94405626000002,200.0,206,46400,232,36200,0.001,0.0,3.6019661939144134,2.3872410750389097,46.163230361938474,2.131744861602783,46.163230361938474,2.1709978580474854,37.41250991821289,37.41250991821289
229,-150.79790311,200.0,205,47200,236,37000,0.001,0.0,2.5255730351805687,2.3887715446949005,45.82739625930786,1.534395456314087,45.82739625930786,2.2184524536132812,43.71302795410156,43.71302795410156
234,-148.79195946000002,200.0,204,48000,240,37800,0.001,0.0,2.819150234460831,2.3101204776763917,44.522572116851805,6.038212299346924,44.522572116851805,2.369746446609497,66.59477996826172,66.59477996826172
239,-146.12979483000004,200.0,203,48800,244,38600,0.001,0.0,3.135401950478554,2.410130795240402,43.983821334838865,2.64113187789917,43.983821334838865,2.513084888458252,46.47669982910156,46.47669982910156
244,-140.46683496,200.0,203,49600,248,39400,0.001,0.0,2.7287520214915277,2.3748283541202544,43.634150943756104,1.4021515846252441,43.634150943756104,2.340447187423706,33.8745002746582,33.8745002746582
249,-138.24505204000002,200.0,202,50400,252,40200,0.001,0.0,2.5168099159002306,2.234630453586578,42.604785976409914,3.1476407051086426,42.604785976409914,2.0297844409942627,52.411766052246094,52.411766052246094
254,-139.00252654999997,200.0,201,51200,256,41000,0.001,0.0,3.0577209439873694,2.224918985366821,42.40440029144287,3.1583971977233887,42.40440029144287,2.1527371406555176,39.255043029785156,39.255043029785156
259,-135.54869069000003,200.0,200,52000,260,41800,0.001,0.0,3.005847121477127,2.407425117492676,41.2290234375,1.9298533201217651,41.2290234375,2.2782821655273438,39.53169250488281,39.53169250488281
263,-134.43510868,200.0,200,52800,264,42600,0.001,0.0,2.7117521384358407,2.7289683389663697,42.111469707489015,0.8504009246826172,42.111469707489015,2.5351173877716064,58.16170883178711,58.16170883178711
268,-135.03573587,200.0,199,53600,268,43400,0.001,0.0,2.96870618134737,2.558656005859375,42.510103931427004,1.991855263710022,42.510103931427004,2.6536266803741455,42.969261169433594,42.969261169433594
273,-131.11035618,200.0,198,54400,272,44200,0.001,0.0,2.244556584209204,2.6587809538841247,40.35000331878662,0.4953014552593231,40.35000331878662,2.6097216606140137,31.114749908447266,31.114749908447266
278,-129.67617392,200.0,198,55200,276,45000,0.001,0.0,2.6633366307616235,2.625165226459503,41.38264684677124,1.501793622970581,41.38264684677124,2.795823574066162,31.72664451599121,31.72664451599121
283,-130.56007926,200.0,197,56000,280,45800,0.001,0.0,2.1597857084870338,2.757088890075684,39.658564262390136,0.7228049039840698,39.658564262390136,3.1419930458068848,28.95545768737793,28.95545768737793
288,-131.60399893,200.0,196,56800,284,46600,0.001,0.0,2.4892920473217965,2.938367245197296,39.061675510406495,1.431531548500061,39.061675510406495,2.9778778553009033,39.85715866088867,39.85715866088867
293,-134.16770038,200.0,196,57600,288,47400,0.001,0.0,2.7875842843949794,2.9190411281585695,38.918702602386475,3.388422727584839,38.918702602386475,2.7146236896514893,41.0057258605957,41.0057258605957
298,-129.09747152000003,200.0,195,58400,292,48200,0.001,0.0,2.1437324348092077,2.8940567660331724,39.656969871521,5.2909955978393555,39.656969871521,2.785496473312378,38.56843185424805,38.56843185424805
303,-130.35647616000003,200.0,195,59200,296,49000,0.001,0.0,2.839054447412491,2.9401305961608886,37.70475227355957,0.9015200138092041,37.70475227355957,3.182412624359131,41.023807525634766,41.023807525634766
308,-131.64534131000005,200.0,194,60000,300,49800,0.001,0.0,2.562269618809223,3.0170859813690187,36.61964597702026,2.7965688705444336,36.61964597702026,3.240246534347534,40.3927001953125,40.3927001953125
