time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss,train/critic_loss,train/actor_loss,train/MSE_losses,train/Beta,train/Main_losses,train/MSE_loss,train/RL_loss,train/critic_los,train/ent_coef,train/ent_coef_loss,train/learning_rate
90,1718,494.76,156093,494.76,460,155992,-93.86992645263672,0.10011123865842819,-93.86992645263672,0.19888103008270264,-0.0,-93.86992645263672,0.19888103008270264,-93.86992645263672,0.10011123865842819,0.0035890506114810705,-0.5812364816665649,0.001
90,1740,500.0,158093,500.0,464,157992,-95.0145263671875,0.02351347915828228,-95.0145263671875,0.3131144642829895,-0.0,-95.0145263671875,0.3131144642829895,-95.0145263671875,0.02351347915828228,0.0028011836111545563,1.4458292722702026,0.001
90,1762,500.0,160093,500.0,468,159992,-94.5506591796875,0.031184401363134384,-94.5506591796875,0.2353818714618683,-0.0,-94.5506591796875,0.2353818714618683,-94.5506591796875,0.031184401363134384,0.0029876483604311943,0.581072211265564,0.001
90,1780,496.21,161714,496.21,472,161613,-94.8133316040039,0.011985165998339653,-94.8133316040039,0.24757350981235504,-0.0,-94.8133316040039,0.24757350981235504,-94.8133316040039,0.011985165998339653,0.001828885287977755,0.6083283424377441,0.001
90,1802,496.21,163714,496.21,476,163613,-95.48588562011719,0.05820818245410919,-95.48588562011719,0.2347739338874817,-0.0,-95.48588562011719,0.2347739338874817,-95.48588562011719,0.05820818245410919,0.003930710256099701,-1.112459659576416,0.001
90,1824,496.21,165714,496.21,480,165613,-95.73706817626953,0.06365785002708435,-95.73706817626953,0.5066395401954651,-0.0,-95.73706817626953,0.5066395401954651,-95.73706817626953,0.06365785002708435,0.005419508554041386,0.7414864301681519,0.001
90,1846,496.21,167714,496.21,484,167613,-95.3203125,0.18526902794837952,-95.3203125,0.44982558488845825,-0.0,-95.3203125,0.44982558488845825,-95.3203125,0.18526902794837952,0.010105711407959461,-0.8998391628265381,0.001
90,1868,496.21,169714,496.21,488,169613,-96.75241088867188,0.05343339592218399,-96.75241088867188,0.24642027914524078,-0.0,-96.75241088867188,0.24642027914524078,-96.75241088867188,0.05343339592218399,0.0027628913521766663,-1.2773547172546387,0.001
90,1890,496.21,171714,496.21,492,171613,-95.57723236083984,0.07989901304244995,-95.57723236083984,0.43891414999961853,-0.0,-95.57723236083984,0.43891414999961853,-95.57723236083984,0.07989901304244995,0.004505577962845564,0.7752779126167297,0.001
90,1912,496.21,173714,496.21,496,173613,-96.20536041259766,0.05425390228629112,-96.20536041259766,0.23734748363494873,-0.0,-96.20536041259766,0.23734748363494873,-96.20536041259766,0.05425390228629112,0.005481387488543987,-0.46515142917633057,0.001
90,1934,496.21,175714,496.21,500,175613,-95.96910095214844,0.03179454430937767,-95.96910095214844,0.2574942111968994,-0.0,-95.96910095214844,0.2574942111968994,-95.96910095214844,0.03179454430937767,0.004197066184133291,-1.5164406299591064,0.001
90,1956,496.21,177714,496.21,504,177613,-94.93417358398438,0.03748049587011337,-94.93417358398438,0.2369924783706665,-0.0,-94.93417358398438,0.2369924783706665,-94.93417358398438,0.03748049587011337,0.0024345682468265295,0.037959516048431396,0.001
90,1978,496.21,179714,496.21,508,179613,-92.87059783935547,0.2657780647277832,-92.87059783935547,0.2680090069770813,-0.0,-92.87059783935547,0.2680090069770813,-92.87059783935547,0.2657780647277832,0.0064691780135035515,-0.4116062819957733,0.001
90,2000,496.21,181714,496.21,512,181613,-94.61701202392578,0.034692514687776566,-94.61701202392578,0.22419951856136322,-0.0,-94.61701202392578,0.22419951856136322,-94.61701202392578,0.034692514687776566,0.003389382269233465,0.19709180295467377,0.001
90,2022,496.21,183714,496.21,516,183613,-95.39811706542969,0.023059437051415443,-95.39811706542969,0.26884549856185913,-0.0,-95.39811706542969,0.26884549856185913,-95.39811706542969,0.023059437051415443,0.003025330137461424,-0.5758230686187744,0.001
90,2043,495.76,185669,495.76,520,185568,-96.93087768554688,0.018892204388976097,-96.93087768554688,0.22806376218795776,-0.0,-96.93087768554688,0.22806376218795776,-96.93087768554688,0.018892204388976097,0.004360224585980177,-1.2860766649246216,0.001
90,2058,489.2,187013,489.2,524,186912,-97.35807037353516,0.013953955844044685,-97.35807037353516,0.209679514169693,-0.0,-97.35807037353516,0.209679514169693,-97.35807037353516,0.013953955844044685,0.0030469319317489862,-0.1574310064315796,0.001
90,2076,486.21,188714,486.21,528,188613,-96.6025390625,0.025513341650366783,-96.6025390625,0.24775420129299164,-0.0,-96.6025390625,0.24775420129299164,-96.6025390625,0.025513341650366783,0.002453550463542342,-1.4656751155853271,0.001
90,2098,486.21,190714,486.21,532,190613,-94.89569091796875,0.01670987159013748,-94.89569091796875,0.3922172784805298,-0.0,-94.89569091796875,0.3922172784805298,-94.89569091796875,0.01670987159013748,0.0045899576507508755,-0.6635586619377136,0.001
