time/total_timesteps,train/loss,time/time_elapsed,train/RL_loss,train/n_updates,train/actor_loss,train/critic_loss,time/episodes,train/MSE_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/Beta,train/Main_losses,train/critic_los,train/ent_coef,rollout/ep_len_mean,train/MSE_losses
44800,30.110979080200195,505,30.110979080200195,44699,30.110979080200195,0.817790150642395,224,3.3811047077178955,0.001,88,-140.57187967,0.937859058380127,-0.0,30.110979080200195,0.817790150642395,0.014589108526706696,200.0,3.3811047077178955
45600,24.529966354370117,514,24.529966354370117,45499,24.529966354370117,0.4745214581489563,228,3.512824773788452,0.001,88,-145.28232282000002,0.8362334370613098,-0.0,24.529966354370117,0.4745214581489563,0.012074645608663559,200.0,3.512824773788452
46400,26.392854690551758,523,26.392854690551758,46299,26.392854690551758,0.6147429943084717,232,3.3225162029266357,0.001,88,-144.11275289999998,0.20732827484607697,-0.0,26.392854690551758,0.6147429943084717,0.013969562016427517,200.0,3.3225162029266357
47200,22.327144622802734,532,22.327144622802734,47099,22.327144622802734,0.45314761996269226,236,3.2994236946105957,0.001,88,-144.09071874999998,-0.45724907517433167,-0.0,22.327144622802734,0.45314761996269226,0.02037941850721836,200.0,3.2994236946105957
48000,25.3277587890625,541,25.3277587890625,47899,25.3277587890625,0.7587246894836426,240,3.0289247035980225,0.001,88,-147.42964371,0.574995756149292,-0.0,25.3277587890625,0.7587246894836426,0.019331835210323334,200.0,3.0289247035980225
48800,17.215312957763672,550,17.215312957763672,48699,17.215312957763672,0.40574294328689575,244,2.7331275939941406,0.001,88,-146.21965006,0.5634384155273438,-0.0,17.215312957763672,0.40574294328689575,0.019336597993969917,200.0,2.7331275939941406
49600,20.248384475708008,559,20.248384475708008,49499,20.248384475708008,0.38144809007644653,248,3.2034642696380615,0.001,88,-141.68618348,-0.6511713266372681,-0.0,20.248384475708008,0.38144809007644653,0.020031385123729706,200.0,3.2034642696380615
50400,23.84589385986328,568,23.84589385986328,50299,23.84589385986328,0.5933783054351807,252,3.143446922302246,0.001,88,-146.43992862,0.043129757046699524,-0.0,23.84589385986328,0.5933783054351807,0.019365908578038216,200.0,3.143446922302246
51200,27.686187744140625,577,27.686187744140625,51099,27.686187744140625,0.8148083686828613,256,2.8642563819885254,0.001,88,-146.54267675999998,-0.19120705127716064,-0.0,27.686187744140625,0.8148083686828613,0.022096507251262665,200.0,2.8642563819885254
52000,19.15628433227539,586,19.15628433227539,51899,19.15628433227539,0.3858771324157715,260,3.110041379928589,0.001,88,-145.52735605,-0.05604364722967148,-0.0,19.15628433227539,0.3858771324157715,0.021069055423140526,200.0,3.110041379928589
