time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/MSE_losses,train/learning_rate,train/ent_coef_loss,train/MSE_loss,train/critic_los,train/actor_loss,train/RL_loss,train/n_updates,train/Main_losses,train/loss,train/Beta,train/ent_coef
264828,102.13761977999998,328,0.03909265622496605,92,1242.2,2873,0.10693590683513321,4.764745973050594,0.00073,0.3024434936232865,5.190589904785156,0.099481001496315,-2.4114487413316965,-2.19868540763855,254784,-2.4114487413316965,-2.19868540763855,-0.0,0.003888546420057537
270059,117.90176129000001,332,0.03910335153341293,92,1289.8,2931,0.12187810509931296,4.50610850378871,0.00073,0.05443244124762714,4.834774017333984,0.11093492060899734,-2.8676816150546074,-2.7887136936187744,260032,-2.8676816150546074,-2.7887136936187744,-0.0,0.0044410260816221125
274293,130.68282850000003,336,0.03920814022421837,92,1329.4,2978,0.10834700416307896,4.6143884770572186,0.00073,-0.5739389886148274,4.524539470672607,0.07983964681625366,-2.948922799900174,-3.158966541290283,264256,-2.948922799900174,-3.158966541290283,-0.0,0.0043879664881387725
279365,146.00592243,340,0.03911956399679184,92,1369.6,3035,0.11688967351801693,4.337472777813673,0.00073,-0.09244390740059316,3.380725383758545,0.0862448662519455,-2.7568978890776634,-3.119266986846924,269376,-2.7568978890776634,-3.119266986846924,-0.0,0.0043912440742133185
283346,156.40665773999999,344,0.03887759521603584,92,1360.11,3079,0.15282419812865555,4.299096681177616,0.00073,0.6559117489960045,4.462047576904297,0.17686976492404938,-3.0419324412941933,-2.4884543418884277,273344,-3.0419324412941933,-2.4884543418884277,-0.0,0.004399264449602924
287145,167.79584036999998,348,0.038891326636075974,91,1370.31,3121,0.10362803837051615,4.262424867600203,0.00073,-0.5635774591937661,4.134855270385742,0.14706465601921082,-3.2332213819026947,-3.6614532470703125,277120,-3.2332213819026947,-3.6614532470703125,-0.0,0.0045661979165743105
291066,175.94212038999999,352,0.038832757622003555,91,1353.57,3164,0.13954796685720794,4.092647090554237,0.00073,-0.24978277320042253,3.8759331703186035,0.05365276336669922,-3.195283155888319,-3.9969301223754883,281024,-3.195283155888319,-3.9969301223754883,-0.0,0.004155653063207865
295344,183.56187579999997,356,0.038835328072309494,91,1341.45,3212,0.12812701030634344,4.235009126365185,0.00073,0.24712926615029573,4.09896993637085,0.10818111896514893,-3.3118331115692854,-3.1340761184692383,285312,-3.3118331115692854,-3.1340761184692383,-0.0,0.004301844259316567
298773,188.16150957999997,360,0.03877175226807594,91,1317.1,3250,0.14787569059990346,4.103880345821381,0.00073,0.11100278608500957,4.505922317504883,0.0889657735824585,-3.383257210254669,-3.4829776287078857,288768,-3.383257210254669,-3.4829776287078857,-0.0,0.004316870887123514
301833,192.81532482999995,364,0.03869250789284706,91,1307.52,3284,0.1501820627017878,4.353322360664606,0.00073,1.1361709290649742,4.67594051361084,0.22027163207530975,-3.5191759523004293,-3.8752613067626953,291840,-3.5191759523004293,-3.8752613067626953,-0.0,0.0047120853123487905
