time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
228,0.04626120999455452,148084,733.39,1567,94,207.14351399999998,-12.144049644470215,0.0073022695069084875,-11.680349990725517,1.6881296634674072,138048,-12.144049644470215,-11.680349990725517,2.428169619292021,0.24985212786123157,0,0.4353501113364473,0.32047608494758606,0.00073
232,0.04609852284193039,151279,729.25,1603,94,211.71458666000007,-9.825984954833984,0.007132506012567319,-11.588268518447876,3.7052087783813477,141248,-9.825984954833984,-11.588268518447876,2.4386185351759195,-0.2726426961598918,0,0.6212864896515384,0.4544771909713745,0.00073
236,0.0459061823785305,154386,721.39,1639,94,213.60700826000001,-10.6605224609375,0.006903627603605855,-11.707131445407867,3.339085578918457,144384,-10.6605224609375,-11.707131445407867,2.2645363863557577,-0.20636392361484468,0,0.5430057540070266,0.33086884021759033,0.00073
240,0.045783158391714096,157423,718.64,1673,94,218.16299693000002,-11.530872344970703,0.0072542826310382225,-11.827200502157211,1.8637595176696777,147392,-11.530872344970703,-11.827200502157211,2.5104033071547747,0.30960427364334464,0,0.3878584905760363,1.4865727424621582,0.00073
244,0.04575009271502495,160554,709.05,1708,93,220.21965414,-12.310745239257812,0.007018325086391997,-12.22326198220253,2.142881393432617,150528,-12.310745239257812,-12.22326198220253,2.6675671003758907,-0.10966343944892287,0,0.3719530163798481,0.13060590624809265,0.00073
248,0.04563071206212044,163591,699.27,1743,93,219.03042718999998,-12.817802429199219,0.006780682131648064,-12.670136883854866,2.114849328994751,153600,-12.817802429199219,-12.670136883854866,2.7602982223033905,-0.37613431666977704,0,0.3606156755704433,0.17648831009864807,0.00073
252,0.04544149339199066,166509,700.7,1775,93,224.68660407000004,-12.228340148925781,0.006655724333541002,-12.636064425110817,2.696833372116089,156480,-12.228340148925781,-12.636064425110817,2.4890242759138346,0.038601555628702044,0,0.45592287345789373,0.2189309298992157,0.00073
256,0.045386429876089096,169652,692.97,1811,93,224.93806773000003,-13.178817749023438,0.007051854445307981,-12.796159416437149,4.161307334899902,159616,-13.178817749023438,-12.796159416437149,2.5501167457550764,0.5150568191893399,0,0.3781488841632381,0.15000249445438385,0.00073
260,0.045232824981212616,172726,693.71,1845,93,229.31052495000003,-12.918437957763672,0.006932991534995381,-13.080849468708038,3.4656713008880615,162688,-12.918437957763672,-13.080849468708038,2.436891585588455,0.058259863406419754,0,0.2659733318723738,0.17509286105632782,0.00073
264,0.04508160427212715,175226,689.06,1873,93,228.73320246000003,-13.323104858398438,0.007017514421022497,-13.184185773134232,1.6554300785064697,165184,-13.323104858398438,-13.184185773134232,2.493837995454669,0.7496755758766085,0,0.3273972870083526,0.24185435473918915,0.00073
268,0.04485076293349266,178336,683.06,1909,93,227.72166857,-13.958561897277832,0.007320491240534466,-13.324237048625946,1.8775250911712646,168320,-13.958561897277832,-13.324237048625946,2.45559785887599,-0.9008032223209739,0,0.3286972373025492,0.11540786921977997,0.00073
272,0.044727638363838196,181383,676.85,1944,93,227.91898681999996,-13.071895599365234,0.006813778883952182,-13.259735390543938,2.346850633621216,171392,-13.071895599365234,-13.259735390543938,2.3670583236962557,-0.21197595167905092,0,0.3602079029660672,0.09584228694438934,0.00073
276,0.044627122581005096,184437,676.06,1978,93,230.21359919,-12.51191520690918,0.007234736731334124,-13.446878656744957,2.0770866870880127,174400,-12.51191520690918,-13.446878656744957,2.3684014100581408,0.2552487491630018,0,0.49086699122563004,0.20132696628570557,0.00073
280,0.044570740312337875,186865,666.92,2005,93,226.12853228,-12.772530555725098,0.006853378006780986,-13.268458440899849,2.0612175464630127,176832,-12.772530555725098,-13.268458440899849,2.372440181672573,0.6044422807171941,0,0.3151731874095276,0.45113757252693176,0.00073
284,0.044300589710474014,189934,671.29,2040,93,229.82610078999997,-14.171940803527832,0.00656308454927057,-13.643262550234795,1.3271572589874268,179904,-14.171940803527832,-13.643262550234795,2.3037040028721094,0.7352960304124281,0,0.3382161182234995,0.10011495649814606,0.00073
288,0.044142864644527435,192892,677.26,2073,93,237.22897868,-13.055915832519531,0.006669534785032738,-13.964596301317215,1.3147072792053223,182848,-13.055915832519531,-13.964596301317215,2.391497455537319,-0.4489146936684847,0,0.396099622012116,0.28462931513786316,0.00073
292,0.043988704681396484,195878,680.87,2107,92,242.21995651,-14.739513397216797,0.006687567649350967,-13.807490572333336,2.374816656112671,185856,-14.739513397216797,-13.807490572333336,2.290668983012438,0.4318677163682878,0,0.4633193545159884,0.2743930220603943,0.00073
296,0.043950531631708145,198823,684.91,2140,92,247.28109376,-13.212614059448242,0.007020618701062631,-13.837029039859772,1.835663080215454,188800,-13.212614059448242,-13.837029039859772,2.393887786194682,0.10419000196270645,0,0.27029893558938056,0.18093273043632507,0.00073
300,0.043845854699611664,201795,696.27,2174,92,255.58890194,-14.899792671203613,0.006848372118838597,-13.963254258036613,3.439786434173584,191808,-14.899792671203613,-13.963254258036613,2.349454253911972,-0.2724292592611164,0,0.30181144713424146,0.14334404468536377,0.00073
304,0.043670281767845154,204241,711.27,2201,92,265.31902181000004,-14.597644805908203,0.006764221841876861,-14.22506009042263,2.254533290863037,194240,-14.597644805908203,-14.22506009042263,2.4188529141247272,0.3029087991453707,0,0.28877002449007705,0.3445318341255188,0.00073
308,0.043563663959503174,207178,716.04,2235,92,270.93508743999996,-14.451150894165039,0.007191144773969427,-14.048535987734795,1.6293525695800781,197184,-14.451150894165039,-14.048535987734795,2.4635628070682287,0.5863332275766879,0,0.33162948268000036,0.16750475764274597,0.00073
312,0.04349615052342415,210126,719.05,2268,92,275.86448941000003,-14.516752243041992,0.0072130055850720964,-14.363378822803497,3.6791067123413086,200128,-14.516752243041992,-14.363378822803497,2.528755282983184,-0.27244891319423914,0,0.46432290045777336,1.20707106590271,0.00073
316,0.043475840240716934,213043,724.24,2300,92,281.89084616,-15.71863079071045,0.007081109761202242,-14.524477362632751,2.2565102577209473,203008,-15.71863079071045,-14.524477362632751,2.20647244900465,-0.2165428069420159,0,0.373073204071261,0.07728886604309082,0.00073
320,0.04343549907207489,215952,730.75,2333,92,288.47721694,-15.15915584564209,0.007263199579028878,-14.782733902335167,1.302635908126831,205952,-15.15915584564209,-14.782733902335167,2.3137634061276913,1.2825213666073978,0,0.5646311262971722,0.17950472235679626,0.00073
324,0.04332752898335457,218271,731.02,2359,92,292.04261708,-14.363321304321289,0.006904594745719805,-14.608318522572517,2.8691556453704834,208256,-14.363321304321289,-14.608318522572517,2.462123529985547,0.6588506605476141,0,0.5129225330310874,3.223020315170288,0.00073
328,0.04323088005185127,221156,730.72,2392,92,295.56785515,-12.988813400268555,0.007219610612082761,-14.899698749184608,2.1254727840423584,211136,-12.988813400268555,-14.899698749184608,2.245503533631563,-0.08862504595890641,0,0.34192360448651016,1.6944377422332764,0.00073
332,0.043180979788303375,224057,727.78,2424,92,295.77002968000005,-14.417377471923828,0.006911054500960745,-14.822966501116753,3.1716105937957764,214016,-14.417377471923828,-14.822966501116753,2.631069468334317,-0.10850089648738503,0,0.3409580659936182,0.169075146317482,0.00073
336,0.04311281442642212,226974,725.88,2458,92,297.26982483,-15.460960388183594,0.00689983282063622,-14.917550295591354,3.182666301727295,216960,-15.460960388183594,-14.917550295591354,2.465057173743844,0.03309597703628242,0,0.5792131242342293,0.18599170446395874,0.00073
340,0.04302987456321716,229422,719.99,2485,92,294.21692612,-14.038335800170898,0.00675142840918852,-15.071190863847733,2.244072437286377,219392,-14.038335800170898,-15.071190863847733,2.2062911298125982,-0.496838680584915,0,0.4379222554853186,0.18423709273338318,0.00073
344,0.04294948652386665,232320,717.66,2518,92,294.28152539999996,-14.620147705078125,0.006548295670654625,-15.264497101306915,2.5273773670196533,222272,-14.620147705078125,-15.264497101306915,2.639663117006421,0.23156809341162443,0,0.4423278035246767,0.11468176543712616,0.00073
