time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/Beta,train/loss,train/RL_loss,train/ent_coef,train/MSE_loss,train/learning_rate,train/n_updates,train/critic_los,train/MSE_losses,train/Main_losses,train/actor_loss,train/critic_loss
121017,1356,89,488.8,304,488.8,1.0526297092437744,0,-99.11830139160156,-99.11830139160156,0.012599233537912369,1.414337158203125,0.001,120916,0.03654608875513077,1.414337158203125,-99.11830139160156,-99.11830139160156,0.03654608875513077
123017,1378,89,488.8,308,488.8,0.29821479320526123,0,-98.30372619628906,-98.30372619628906,0.009007204324007034,1.3823933601379395,0.001,122916,0.16781575977802277,1.3823933601379395,-98.30372619628906,-98.30372619628906,0.16781575977802277
125017,1400,89,490.01,312,490.01,0.5840626955032349,0,-98.46772766113281,-98.46772766113281,0.008699193596839905,1.3552563190460205,0.001,124916,0.03457542508840561,1.3552563190460205,-98.46772766113281,-98.46772766113281,0.03457542508840561
127017,1423,89,490.01,316,490.01,-0.7048583030700684,0,-99.09054565429688,-99.09054565429688,0.00563253415748477,1.288894772529602,0.001,126916,0.03021760657429695,1.288894772529602,-99.09054565429688,-99.09054565429688,0.03021760657429695
129017,1445,89,490.01,320,490.01,1.8556658029556274,0,-98.9461441040039,-98.9461441040039,0.005979076027870178,1.2279691696166992,0.001,128916,0.5227502584457397,1.2279691696166992,-98.9461441040039,-98.9461441040039,0.5227502584457397
131017,1468,89,490.11,324,490.11,0.42463892698287964,0,-97.64448547363281,-97.64448547363281,0.006361868232488632,1.5174989700317383,0.001,130916,0.15822014212608337,1.5174989700317383,-97.64448547363281,-97.64448547363281,0.15822014212608337
133017,1490,89,490.11,328,490.11,0.1292191743850708,0,-99.1180648803711,-99.1180648803711,0.004132944159209728,1.2071595191955566,0.001,132916,0.12500286102294922,1.2071595191955566,-99.1180648803711,-99.1180648803711,0.12500286102294922
135017,1513,89,490.11,332,490.11,-0.11358726769685745,0,-98.35371398925781,-98.35371398925781,0.004006270319223404,1.1188616752624512,0.001,134916,0.057506829500198364,1.1188616752624512,-98.35371398925781,-98.35371398925781,0.057506829500198364
137017,1535,89,490.11,336,490.11,-1.6659373044967651,0,-97.28288269042969,-97.28288269042969,0.006296535022556782,1.0878634452819824,0.001,136916,0.04141591116786003,1.0878634452819824,-97.28288269042969,-97.28288269042969,0.04141591116786003
139017,1558,89,490.11,340,490.11,-0.13388539850711823,0,-98.02046203613281,-98.02046203613281,0.006704711355268955,1.4705851078033447,0.001,138916,0.0720345675945282,1.4705851078033447,-98.02046203613281,-98.02046203613281,0.0720345675945282
141017,1580,89,492.55,344,492.55,0.17469653487205505,0,-99.13821411132812,-99.13821411132812,0.005457047373056412,1.3223235607147217,0.001,140916,0.026407483965158463,1.3223235607147217,-99.13821411132812,-99.13821411132812,0.026407483965158463
143017,1603,89,492.55,348,492.55,0.2202427089214325,0,-97.69239807128906,-97.69239807128906,0.004964070860296488,1.0639801025390625,0.001,142916,0.16291172802448273,1.0639801025390625,-97.69239807128906,-97.69239807128906,0.16291172802448273
145017,1625,89,492.55,352,492.55,0.9749659895896912,0,-99.14111328125,-99.14111328125,0.008636589162051678,1.36006760597229,0.001,144916,0.023770462721586227,1.36006760597229,-99.14111328125,-99.14111328125,0.023770462721586227
147017,1647,89,492.55,356,492.55,-0.3821840286254883,0,-99.74995422363281,-99.74995422363281,0.01360306516289711,1.5770280361175537,0.001,146916,0.08474583923816681,1.5770280361175537,-99.74995422363281,-99.74995422363281,0.08474583923816681
