time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/Beta,train/actor_loss,train/critic_los,train/MSE_loss,train/MSE_losses,train/RL_loss,train/Main_losses,train/loss,train/n_updates,train/learning_rate,train/critic_loss
161,5.87,927,150007,5.87,25724,-0.0,-3.469100077946981,0.04675575718283653,1.7194652557373047,1.586169163386027,-3.1517467498779297,-3.469100077946981,-3.1517467498779297,149905,0.001,0.04773986774186293
161,5.85,927,150029,5.85,25728,-0.0,-3.300572474797567,0.017905451357364655,1.5613987445831299,1.6145604054133098,-3.4472899436950684,-3.300572474797567,-3.4472899436950684,149928,0.001,0.032377934704224266
161,5.85,927,150052,5.85,25732,-0.0,-3.2914768060048423,0.029649557545781136,1.688787817955017,1.6327054103215535,-3.114609956741333,-3.2914768060048423,-3.114609956741333,149951,0.001,0.03218485756466786
161,5.84,928,150075,5.84,25736,-0.0,-3.231344302495321,0.03459428995847702,1.6837183237075806,1.667973279953003,-3.2666213512420654,-3.231344302495321,-3.2666213512420654,149973,0.001,0.03767013611892859
161,5.84,928,150099,5.84,25740,-0.0,-3.3524285157521567,0.0389915406703949,1.704468011856079,1.6492763757705688,-3.231135845184326,-3.3524285157521567,-3.231135845184326,149997,0.001,0.04520472387472788
161,5.85,928,150122,5.85,25744,-0.0,-3.288384755452474,0.02212018147110939,1.6444182395935059,1.6397522687911987,-3.2678380012512207,-3.288384755452474,-3.2678380012512207,150020,0.001,0.03391271121799946
161,5.85,928,150146,5.85,25748,-0.0,-3.2973721822102866,0.03649136424064636,1.6014084815979004,1.6338704029719036,-3.3380377292633057,-3.2973721822102866,-3.3380377292633057,150044,0.001,0.04108432618280252
161,5.86,928,150170,5.86,25752,-0.0,-3.471250136693319,0.02827676385641098,1.603603482246399,1.59907865524292,-3.424393892288208,-3.471250136693319,-3.424393892288208,150068,0.001,0.0415682444969813
161,5.89,928,150194,5.89,25756,-0.0,-3.345349152882894,0.02371644228696823,1.6324496269226074,1.6233959595362346,-3.298637628555298,-3.345349152882894,-3.298637628555298,150092,0.001,0.046220384538173676
161,5.88,928,150218,5.88,25760,-0.0,-3.231659412384033,0.03827540576457977,1.6819303035736084,1.6569671233495076,-3.177539587020874,-3.231659412384033,-3.177539587020874,150116,0.001,0.03523688049366077
161,5.86,929,150240,5.86,25764,-0.0,-3.0876476764678955,0.019171971827745438,1.767621397972107,1.7136130928993225,-2.9384100437164307,-3.0876476764678955,-2.9384100437164307,150139,0.001,0.03317090682685375
161,5.85,929,150262,5.85,25768,-0.0,-3.283485730489095,0.04477947950363159,1.6954909563064575,1.6605836153030396,-3.177582263946533,-3.283485730489095,-3.177582263946533,150160,0.001,0.03415076658129692
161,5.85,929,150286,5.85,25772,-0.0,-3.2906474272410073,0.04615289345383644,1.6763386726379395,1.658955971399943,-3.2277822494506836,-3.2906474272410073,-3.2277822494506836,150184,0.001,0.03857549993942181
161,5.85,929,150309,5.85,25776,-0.0,-3.2076706091562905,0.0509556382894516,1.676969051361084,1.672813892364502,-3.1124095916748047,-3.2076706091562905,-3.1124095916748047,150207,0.001,0.04588849097490311
161,5.84,929,150332,5.84,25780,-0.0,-3.4349586963653564,0.03727104514837265,1.4786938428878784,1.6079999208450317,-3.733754873275757,-3.4349586963653564,-3.733754873275757,150230,0.001,0.03693717190374931
161,5.84,929,150355,5.84,25784,-0.0,-3.484712521235148,0.032026566565036774,1.5659332275390625,1.578418533007304,-3.558698892593384,-3.484712521235148,-3.558698892593384,150254,0.001,0.04763866029679775
161,5.85,929,150378,5.85,25788,-0.0,-3.3701740900675454,0.031238127499818802,1.638731598854065,1.6357313791910808,-3.3461406230926514,-3.3701740900675454,-3.3461406230926514,150276,0.001,0.028133724257349967
161,5.85,930,150402,5.85,25792,-0.0,-3.3874243100484214,0.03727968782186508,1.5882422924041748,1.6075989802678425,-3.482428550720215,-3.3874243100484214,-3.482428550720215,150300,0.001,0.03730067890137434
161,5.83,930,150424,5.83,25796,-0.0,-3.4012715021769204,0.04440578445792198,1.590870976448059,1.5936983029047649,-3.359673023223877,-3.4012715021769204,-3.359673023223877,150323,0.001,0.04149667080491781
161,5.83,930,150448,5.83,25800,-0.0,-3.2328487634658813,0.028010237962007523,1.690527319908142,1.6819405257701874,-3.173889398574829,-3.2328487634658813,-3.173889398574829,150346,0.001,0.0390625
161,5.83,930,150472,5.83,25804,-0.0,-3.311825752258301,0.04259903356432915,1.61881685256958,1.631125847498576,-3.4005608558654785,-3.311825752258301,-3.4005608558654785,150370,0.001,0.034091888616482414
161,5.84,930,150496,5.84,25808,-0.0,-3.099539836247762,0.042116858065128326,1.6645088195800781,1.7053401867548625,-3.2379326820373535,-3.099539836247762,-3.2379326820373535,150394,0.001,0.04939138206342856
161,5.84,930,150520,5.84,25812,-0.0,-3.2838335037231445,0.020970815792679787,1.7064019441604614,1.6572844584782918,-3.1215178966522217,-3.2838335037231445,-3.1215178966522217,150418,0.001,0.05063028975079457
161,5.85,930,150544,5.85,25816,-0.0,-3.1799474557240806,0.023189406841993332,1.7099685668945312,1.7097349961598713,-3.2015981674194336,-3.1799474557240806,-3.2015981674194336,150442,0.001,0.03301130079974731
161,5.85,931,150568,5.85,25820,-0.0,-3.3799021244049072,0.02753978595137596,1.6296666860580444,1.60318922996521,-3.2555973529815674,-3.3799021244049072,-3.2555973529815674,150466,0.001,0.04163532083233198
161,5.83,931,150590,5.83,25824,-0.0,-3.1842476526896157,0.02974473126232624,1.7328442335128784,1.6825217008590698,-3.085207462310791,-3.1842476526896157,-3.085207462310791,150489,0.001,0.048310578490297
161,5.83,931,150612,5.83,25828,-0.0,-3.329732298851013,0.03790883719921112,1.618558645248413,1.6410033106803894,-3.372103214263916,-3.329732298851013,-3.372103214263916,150511,0.001,0.0441441036760807
161,5.84,931,150636,5.84,25832,-0.0,-3.2625659306844077,0.02198677882552147,1.6006344556808472,1.642559806505839,-3.2898833751678467,-3.2625659306844077,-3.2898833751678467,150534,0.001,0.034466675172249474
161,5.85,931,150660,5.85,25836,-0.0,-3.2520559628804526,0.04259122163057327,1.5844703912734985,1.6488658984502156,-3.4026379585266113,-3.2520559628804526,-3.4026379585266113,150558,0.001,0.04662061731020609
161,5.83,931,150682,5.83,25840,-0.0,-3.382147709528605,0.07374300062656403,1.5496313571929932,1.6250571807225545,-3.5177485942840576,-3.382147709528605,-3.5177485942840576,150580,0.001,0.05748357561727365
161,5.82,931,150704,5.82,25844,-0.0,-3.362720012664795,0.03205571323633194,1.6843304634094238,1.628330151240031,-3.237177610397339,-3.362720012664795,-3.237177610397339,150602,0.001,0.04068693667650223
161,5.82,932,150728,5.82,25848,-0.0,-3.369803269704183,0.03363615274429321,1.6557527780532837,1.6064303716023762,-3.304140329360962,-3.369803269704183,-3.304140329360962,150626,0.001,0.03783946856856346
