time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/MSE_loss,train/n_updates,train/critic_los,train/Main_losses,train/RL_loss,train/MSE_losses,train/Beta
52996,161,5.85,328,5.85,9072,0.04206407101203998,0.001,-3.265225648880005,-3.3198442459106445,1.628149390220642,52899,0.02917114831507206,-3.265225648880005,-3.3198442459106445,1.6673833926518757,-0.0
53019,161,5.84,328,5.84,9076,0.06055559813976288,0.001,-3.29355251789093,-3.373690128326416,1.5794683694839478,52921,0.06521110236644745,-3.29355251789093,-3.373690128326416,1.5771065950393677,-0.0
53042,161,5.83,328,5.83,9080,0.04089759811758995,0.001,-3.3798932234446206,-3.3298592567443848,1.649900197982788,52944,0.027402840554714203,-3.3798932234446206,-3.3298592567443848,1.593714714050293,-0.0
53065,161,5.83,328,5.83,9084,0.04833738133311272,0.001,-3.3315674463907876,-3.3064587116241455,1.6603186130523682,52967,0.0341775044798851,-3.3315674463907876,-3.3064587116241455,1.5971284707387288,-0.0
53089,161,5.83,328,5.83,9088,0.045505172262589134,0.001,-3.2046168645222983,-2.990926504135132,1.7569515705108643,52991,0.047992952167987823,-3.2046168645222983,-2.990926504135132,1.6738655964533489,-0.0
53113,161,5.86,329,5.86,9092,0.05048284555474917,0.001,-3.4019253253936768,-3.2599592208862305,1.6349477767944336,53015,0.03974787890911102,-3.4019253253936768,-3.2599592208862305,1.5882985194524128,-0.0
53136,161,5.85,329,5.85,9096,0.0518647829691569,0.001,-3.2516820430755615,-3.33872127532959,1.5688319206237793,53038,0.06837931275367737,-3.2516820430755615,-3.33872127532959,1.6411056915918987,-0.0
53160,161,5.85,329,5.85,9100,0.05205115551749865,0.001,-3.1723643143971763,-3.381908893585205,1.629931092262268,53062,0.05544241517782211,-3.1723643143971763,-3.381908893585205,1.6662400563557942,-0.0
53185,161,5.88,329,5.88,9104,0.04200193223853906,0.001,-3.3790152072906494,-3.358119487762451,1.5632860660552979,53086,0.03650503605604172,-3.3790152072906494,-3.358119487762451,1.583797772725423,-0.0
53207,161,5.86,329,5.86,9108,0.04424708783626556,0.001,-3.41403067111969,-3.5420570373535156,1.5708285570144653,53109,0.04561449587345123,-3.41403067111969,-3.5420570373535156,1.6056298613548279,-0.0
53230,161,5.86,329,5.86,9112,0.04359716400504112,0.001,-3.4883386294047036,-3.4933016300201416,1.574333906173706,53132,0.04021885246038437,-3.4883386294047036,-3.4933016300201416,1.5704415241877239,-0.0
53254,161,5.86,330,5.86,9116,0.0434439176072677,0.001,-3.3418842951456704,-3.4815917015075684,1.5768041610717773,53156,0.04564635455608368,-3.3418842951456704,-3.4815917015075684,1.6276074250539143,-0.0
53277,161,5.86,330,5.86,9120,0.047006817907094954,0.001,-3.23239004611969,-3.1811773777008057,1.6385189294815063,53179,0.04219939932227135,-3.23239004611969,-3.1811773777008057,1.6278160214424133,-0.0
53300,161,5.86,330,5.86,9124,0.041435731574893,0.001,-3.105324665705363,-3.190647602081299,1.6556973457336426,53203,0.038777440786361694,-3.105324665705363,-3.190647602081299,1.7064414024353027,-0.0
53324,161,5.86,330,5.86,9128,0.03713430091738701,0.001,-3.388928492863973,-3.315936803817749,1.6331496238708496,53226,0.037902649492025375,-3.388928492863973,-3.315936803817749,1.59772527217865,-0.0
53348,161,5.86,330,5.86,9132,0.03432335859785477,0.001,-3.274749994277954,-3.179896593093872,1.6853256225585938,53250,0.027969641610980034,-3.274749994277954,-3.179896593093872,1.6469271580378215,-0.0
53372,161,5.86,330,5.86,9136,0.04418869006137053,0.001,-3.257104237874349,-3.143059730529785,1.674614667892456,53274,0.031103864312171936,-3.257104237874349,-3.143059730529785,1.631861408551534,-0.0
53395,161,5.85,330,5.85,9140,0.0525321156407396,0.001,-3.374061902364095,-3.4844679832458496,1.579207420349121,53298,0.05343172699213028,-3.374061902364095,-3.4844679832458496,1.6373351414998372,-0.0
53419,161,5.86,331,5.86,9144,0.044986382126808167,0.001,-3.3153879642486572,-3.246899366378784,1.6461321115493774,53320,0.053067028522491455,-3.3153879642486572,-3.246899366378784,1.6018715699513753,-0.0
53443,161,5.86,331,5.86,9148,0.0488731370617946,0.001,-3.2771078745524087,-3.0798890590667725,1.725801944732666,53345,0.039334215223789215,-3.2771078745524087,-3.0798890590667725,1.6350716749827068,-0.0
53466,161,5.85,331,5.85,9152,0.046469153463840486,0.001,-3.095302104949951,-3.1597728729248047,1.66641104221344,53368,0.042617589235305786,-3.095302104949951,-3.1597728729248047,1.7006580034891765,-0.0
53489,161,5.84,331,5.84,9156,0.042057001342376076,0.001,-3.306154410044352,-3.1621453762054443,1.6831741333007812,53391,0.05366966128349304,-3.306154410044352,-3.1621453762054443,1.6283984184265137,-0.0
