time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
232,0.039325010031461716,93,203830,17.01855104,2189,1187.2,193792,-0.7471451759338379,0.11463619285495952,7.683489799499512,-0.7022296325303614,0.06742411851882935,-0.7022296325303614,0.003094043320743367,-0.7471451759338379,7.9889088571071625,-0.8278974395943806,-0.0,0.00073
236,0.0398407056927681,93,208781,31.09813844,2243,1202.83,198784,-0.15407794713974,0.09342488244874403,7.798916816711426,-1.1584032573737204,0.07678000628948212,-1.1584032573737204,0.003707102900079917,-0.15407794713974,7.883147738873959,-0.5136868436820805,-0.0,0.00073
240,0.04024970531463623,93,213371,44.71802524,2293,1199.95,203328,-1.014902114868164,0.11810996604617685,7.657846450805664,-1.2886451387312263,0.45406657457351685,-1.2886451387312263,0.0036167245780234225,-1.014902114868164,7.811884567141533,-0.5126600386574864,-0.0,0.00073
244,0.040356192737817764,93,217718,57.34179650000001,2340,1181.2,207680,-1.1930018663406372,0.12616751619498245,7.9470038414001465,-1.8517534283455461,0.08884131908416748,-1.8517534283455461,0.0035800525001832284,-1.1930018663406372,7.775425389409065,0.3292939397506416,-0.0,0.00073
248,0.04042939841747284,92,222172,70.15246855000001,2389,1161.74,212160,-2.5802955627441406,0.12951609975425526,7.800104141235352,-2.0335238063707948,0.1326427459716797,-2.0335238063707948,0.0037978753389324993,-2.5802955627441406,7.977198772132397,-0.6823604560922831,-0.0,0.00073
252,0.04070061445236206,92,225554,79.75800867000001,2426,1131.56,215552,-2.3893227577209473,0.1107165744761005,7.969354152679443,-2.3679764783009887,0.104717917740345,-2.3679764783009887,0.0034202405186078977,-2.3893227577209473,7.850288979709148,0.9069107200484723,-0.0,0.00073
256,0.040565211325883865,92,229715,95.45623814999999,2471,1147.18,219712,-2.4162702560424805,0.12249363146838732,7.6811676025390625,-2.479576781624928,0.03343751281499863,-2.479576781624928,0.003597202077799011,-2.4162702560424805,7.81831394135952,1.82169423205778,-0.0,0.00073
260,0.040317434817552567,92,233049,105.12401211999999,2508,1128.75,223040,-3.2054407596588135,0.1157211844692938,7.007067680358887,-2.801585230976343,0.062070056796073914,-2.801585230976343,0.003158576935675228,-3.2054407596588135,6.94336811453104,0.015194679610431194,-0.0,0.00073
264,0.040661126375198364,92,237143,118.04067487999998,2552,1105.69,227136,-3.1951043605804443,0.12943033571355045,6.695845603942871,-3.143085716292262,0.06380575895309448,-3.143085716292262,0.004022046108730137,-3.1951043605804443,6.77719634026289,-0.7211946570314467,-0.0,0.00073
268,0.040582116693258286,92,240599,128.36457855999998,2590,1076.25,230592,-3.336503028869629,0.1304313668224495,6.791413307189941,-3.0704108122736216,0.0848536342382431,-3.0704108122736216,0.003726981238287408,-3.336503028869629,6.828123949468136,-0.4071099408902228,-0.0,0.00073
272,0.040915194898843765,92,244656,141.35085134000002,2634,1052.82,234624,-3.7809901237487793,0.1443051304668188,6.7434611320495605,-3.0803869143128395,0.08745883405208588,-3.0803869143128395,0.004196642250462901,-3.7809901237487793,6.961314648389816,0.36606228188611567,-0.0,0.00073
276,0.04143295809626579,92,248709,156.32296854,2678,1065.06,238720,-3.907789945602417,0.1625661636935547,6.170202255249023,-3.7237096168100834,0.7073711156845093,-3.7237096168100834,0.007514618853747379,-3.907789945602417,6.2908249124884605,1.2409840668551624,-0.0,0.00073
280,0.0427200011909008,92,252779,171.44107122999998,2722,1065.96,242752,-4.7710394859313965,0.11200383672257885,6.292438983917236,-3.800470996648073,0.03257454186677933,-3.800470996648073,0.006420868885470554,-4.7710394859313965,6.388459049165249,0.42170929443091154,-0.0,0.00073
284,0.0431024543941021,92,256678,182.64138086,2765,1055.07,246656,-4.644857406616211,0.10995623431517743,6.321854591369629,-4.006787279620767,0.0341394767165184,-4.006787279620767,0.005714660706871655,-4.644857406616211,6.3517176657915115,1.237219475209713,-0.0,0.00073
